"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Feb 15 00:04:47 IST 2021","Mon Feb 15 00:04:47 IST 2021","22","Suite","Testweb","com.eco.qa.testcases.EcoAdminPanelOrderCreationTest","com.eco.qa.testcases.EcoAdminPanelOrderCreationTest","ElevatorOrderCreation","ElevatorOrderCreation",""
"broken","Mon Feb 15 00:04:47 IST 2021","Mon Feb 15 00:04:47 IST 2021","3","Suite","Testweb","com.eco.qa.testcases.EcoAdminPanelOrderCreationTest","com.eco.qa.testcases.EcoAdminPanelOrderCreationTest","beforeTest","beforeTest",""
